电影名字,电影原名,其他名字,详细内容链接,导演,主演,年份,地区,评语
一个叫欧维的男人决定去死,En man som heter Ove, 明天别再来敲门(台)   想死冇咁易(港),https://movie.douban.com/subject/26628357/
头号玩家,Ready Player One, 玩家一号   挑战者1号(港),https://movie.douban.com/subject/4920389/
谍影重重3,The Bourne Ultimatum, 叛谍追击3：最后通牒(港)   神鬼认证：最后通牒 (台),https://movie.douban.com/subject/1578507/
岁月神偷,歲月神偷, 1969太空漫游   Echoes Of The Rainbow,https://movie.douban.com/subject/3792799/
疯狂原始人,The Croods, 古鲁家族(港 台) ,https://movie.douban.com/subject/1907966/
纵横四海,緃横四海, Once a Thief,https://movie.douban.com/subject/1295409/
三块广告牌,Three Billboards Outside Ebbing, Missouri, 广告牌杀人事件(港)   意外(台),https://movie.douban.com/subject/26611804/
达拉斯买家俱乐部,Dallas Buyers Club, 续命枭雄(港)   药命俱乐部(台),https://movie.douban.com/subject/1793929/
卢旺达饭店,Hotel Rwanda, 卢安达饭店(台),https://movie.douban.com/subject/1291822/
心迷宫,心迷宫, 殡棺   The Coffin in the Mountain,https://movie.douban.com/subject/25917973/
未麻的部屋,Perfect Blue, 蓝色恐惧(港 台) ,https://movie.douban.com/subject/1395091/
花样年华,花樣年華, In the Mood for Love,https://movie.douban.com/subject/1291557/
记忆碎片,Memento, 凶心人(港)   记忆拼图(台),https://movie.douban.com/subject/1304447/
你的名字。,君の名は。, 你的名字   君之名,https://movie.douban.com/subject/26683290/
模仿游戏,The Imitation Game, 解码游戏(港)   模拟游戏,https://movie.douban.com/subject/10463953/
黑客帝国3：矩阵革命,The Matrix Revolutions, 22世纪杀人网络3：惊变世纪(港)   骇客任务完结篇：最后战役(台),https://movie.douban.com/subject/1302467/
荒蛮故事,Relatos salvajes, 蛮荒故事   生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/
新世界,신세계, 暗黑新世界(台)   New World,https://movie.douban.com/subject/10437779/
萤火虫之墓,火垂るの墓, 再见萤火虫(港)   萤火挽歌,https://movie.douban.com/subject/1293318/
忠犬八公物语,ハチ公物語, 八千公物语   阿八的故事,https://movie.douban.com/subject/1959195/
爆裂鼓手,Whiplash, 鼓动真我(港)   进击的鼓手(台),https://movie.douban.com/subject/25773932/
贫民窟的百万富翁,Slumdog Millionaire, 一百万零一夜(港)   贫民百万富翁(台),https://movie.douban.com/subject/2209573/
东邪西毒,東邪西毒, Ashes of Time,https://movie.douban.com/subject/1292328/
真爱至上,Love Actually, 真的恋爱了(港)   爱是您，爱是我(台),https://movie.douban.com/subject/1292401/
头脑特工队,Inside Out, 玩转脑朋友(港)   脑筋急转弯(台),https://movie.douban.com/subject/10533913/
黑天鹅,Black Swan, 夺命黑天鹅   霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/
海街日记,海街diary, 海街女孩日记(港)   Kamakura Diary,https://movie.douban.com/subject/25895901/
惊魂记,Psycho, 精神病患者   触目惊心(港),https://movie.douban.com/subject/1293181/
你看起来好像很好吃,おまえうまそうだな, 你看起来很好吃(台)   你看上去好像很好吃,https://movie.douban.com/subject/4848115/
无敌破坏王,Wreck-It Ralph, 破坏王拉尔夫   破坏王大冒险,https://movie.douban.com/subject/6534248/
冰川时代,Ice Age, 冰河世纪   冰原历险记,https://movie.douban.com/subject/1291578/
雨人,Rain Man, 手足情未了(港)   手足情深,https://movie.douban.com/subject/1291870/
恋恋笔记本,The Notebook, 忘了·忘不了(港)   手札情缘(台),https://movie.douban.com/subject/1309163/
小偷家族,万引き家族, Shoplifters   Une Affaire de Famille,https://movie.douban.com/subject/27622447/
绿里奇迹,The Green Mile, 绿色奇迹(台)   绿色英里,https://movie.douban.com/subject/1300374/
爱在午夜降临前,Before Midnight, 情约半生(港)   爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/
恐怖游轮,Triangle, 汪洋血迷宮(台)   轮回三角,https://movie.douban.com/subject/3011051/
疯狂的石头,疯狂的石头, Crazy Stone,https://movie.douban.com/subject/1862151/
奇迹男孩,Wonder, 奇迹,https://movie.douban.com/subject/26787574/
二十二,二十二, Twenty Two   22,https://movie.douban.com/subject/26430107/
雨中曲,Singin' in the Rain, 万花嬉春(港 台) ,https://movie.douban.com/subject/1293460/
魔女宅急便,魔女の宅急便, 魔女琪琪(台)   小魔女限时专送,https://movie.douban.com/subject/1307811/
